(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
33:14.1, , ,46.84585381,198975488, , ,0, , ,2701,2701,2701,2701,3484,0.161098957,
33:15.1,0,0,46.67520242,198979584,42.52058168,0,0,8.317469516,87.67174842,2701,2701,2701,2701,3484,0.160899878,
33:16.1,4.978869646,4.978869646,47.08251305,199946240,458.0560075,2997.279527,0,26.86919597,103.6942475,2701,2701,2701,2701,3484,0.151293039,
33:17.1,10.94428353,7.959478933,47.30136268,201158656,3845.42326,2047.575956,0,17.60658586,99.51822019,2701,2701,2701,2701,3484,0.152602911,
33:18.1,5.033891379,2.013556552,47.18616175,201437184,1269.547406,167.1251938,0,11.12278383,99.06469566,2701,2701,2701,2701,3484,0.15715909,
33:19.1,0,0,47.1530455,201437184,125.1204758,0,0,13.10830271,79.56126233,2701,2701,2701,2701,3484,0.157203913,
33:20.1,0,0,47.09871818,201437184,42.4249801,0,0,8.468203647,87.00314323,1200,1200,1200,1200,3484,0.152081013,
33:21.1,0,0,46.99818211,201437184,0,0,0,5.213743816,94.50421455,2701,2701,2701,2701,3484,0.157063961,
33:22.1,0,0,46.99317618,201437184,0,0,0,6.756980943,96.96813912,2701,2701,2701,2701,3484,0.145505905,
33:23.1,2.02176316,0,46.96943004,201437184,430.6355531,0,0,13.11827813,91.32712531,2701,2701,2701,2701,3484,0.150353909,
33:24.1,0,0,46.96532258,198938624,41.84448389,0,0,13.21944154,101.9382814,2701,2701,2701,2701,3484,0.154309988,
33:25.1,0,0,46.94176897,198938624,41.84915953,0,0,6.193873267,94.75654431,2701,2701,2701,2701,3484,0.149248123,
33:26.1,0,0,46.93868839,199233536,41.85221422,0,0,8.53264116,93.19069835,2701,2701,2701,2701,3484,0.158208132,
33:27.1,1.011928683,0,46.92514668,198942720,229.7078111,0,0,5.92217594,86.57610317,2701,2701,2701,2701,3484,0.14990592,
33:28.1,0,0.99640856,48.81835639,199192576,83.69831907,214.2278405,0,14.36640507,92.43181764,2701,2701,2701,2701,3484,0.152853012,
33:29.1,3.989484157,3.989484157,47.20981164,199364608,334.1192982,376.0088818,0,21.68948872,103.2464069,2701,2701,2701,2701,3484,0.15863204,
33:30.1,0,0.997199796,47.2047736,199008256,0,214.3979562,0,7.680770814,90.76018697,2701,2701,2701,2701,3484,0.150557995,
33:31.1,2.993602353,0.997867451,47.16793498,198987776,499.931593,214.541502,0,3.728562792,88.06611724,2701,2701,2701,2701,3484,0.14882803,
33:32.1,3.027928215,3.027928215,47.15663952,198991872,236.1784008,196.815334,0,8.527045714,96.12950129,2701,2701,2701,2701,3484,0.151776075,
33:33.1,1.989003722,0,46.62472584,198991872,423.6577929,0,0,17.64658733,106.2323698,2701,2701,2701,2701,3484,0.15022707,
33:34.1,0,0,46.59180212,199204864,101.6538281,41.85745863,0,29.14358357,108.9429844,2701,2701,2701,2701,3484,0.166552067,
33:35.1,0,0,46.58076336,198250496,84.54112634,0,0,19.01536166,103.9733745,2701,2701,2701,2701,3484,0.149255991,
33:36.1,0,0,46.58272081,198545408,83.36829443,0,0,22.46450239,106.5082551,2701,2701,2701,2701,3484,0.147665024,
33:37.1,2.021173765,1.010586882,46.53888672,198545408,338.5466056,55.58227852,0,14.33678369,100.289463,2701,2701,2701,2701,3484,0.147089005,
33:38.1,0.995884388,0,46.59905432,197726208,144.4032363,0,0,15.58160817,102.2963625,2701,2701,2701,2701,3484,0.157804966,
33:39.1,0.996605033,0,46.5147555,197414912,144.5077297,0,0,17.47054303,84.42327728,2701,2701,2701,2701,3484,0.150886059,
33:40.1,0,0,46.50824134,197414912,41.85660809,0,0,12.0199497,97.01378076,2701,2701,2701,2701,3484,0.165695906,
33:41.1,3.036434587,0,46.50785628,197419008,507.0845761,0,0,7.483458991,88.06792709,2701,2701,2701,2701,3484,0.159904003,
33:42.1,0,0,46.58884989,197419008,0,0,0,9.694734822,97.00596863,2701,2701,2701,2701,3484,0.155575037,
33:43.1,1.993603165,0,46.61009306,197423104,382.7718077,0,0,8.879758215,93.30162465,2701,2701,2701,2701,3484,0.146131992,
33:44.1,1.990107476,1.990107476,46.59937521,197623808,141.2976308,421.902785,0,15.27488223,90.72189672,900,900,900,900,3484,0.153875113,
33:45.1,3.032768601,2.021845734,46.61179379,197623808,387.1834581,136.474587,0,11.54452161,101.1535859,2701,2701,2701,2701,3484,0.158444881,
33:46.1,0,0.994994673,46.60316176,197607424,0,54.724707,0,3.604672788,92.07366879,2701,2701,2701,2701,3484,0.163866997,
33:47.1,0.995487973,0,46.59626254,197898240,184.165275,0,0,7.814993741,84.86477996,2701,2701,2701,2701,3484,0.149107218,
33:48.1,0,0,46.57055893,197898240,0,0,0,10.01521288,72.61723067,2701,2701,2701,2701,3484,0.152580976,
33:49.1,0,0,46.52380469,197906432,0,0,0,12.39430875,100.4144579,2701,2701,2701,2701,3484,0.147797823,
33:50.1,0,0,46.50005855,197906432,41.85734837,0,0,12.00498897,86.96881229,2701,2701,2701,2701,3484,0.167597055,
33:51.1,3.035871886,0,46.48911607,197906432,591.9950179,0,0,6.32337101,83.02114298,2701,2701,2701,2701,3484,0.156105995,
33:52.1,0,0,46.48183178,197906432,41.81036914,0,0,7.839661248,78.91192687,2701,2701,2701,2701,3484,0.352154016,
33:53.1,1.989408614,0,46.48067657,198172672,465.5216156,0,0,10.2474476,87.32423213,2701,2701,2701,2701,3484,0.153053999,
33:54.1,0,0,46.48484819,198172672,42.40038316,0,0,15.97328374,90.74147165,2701,2701,2701,2701,3484,0.149322987,
