"(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600)","\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec","\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec","\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use","\\DESKTOP-0I0PA3Q\Memory\Cache Bytes","\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec","\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec","\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections","\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time","\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance","\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency","\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency","\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency","\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency","\\DESKTOP-0I0PA3Q\TCPv4\Connections Active"
"07/05/2018 11:13:51.261"," "," ","49.370903579837389","143482880"," "," ","0"," "," ","1500","1500","1500","1500","11025"
"07/05/2018 11:13:52.287","0","0","49.333038099420499","143486976","0","0","0","30.625726066576863","38.131690840453011","400","400","400","400","11025"
"07/05/2018 11:13:53.270","0","0","49.311987461827691","143495168","0","0","0","35.203446215970601","56.748084412567266","400","400","400","400","11025"
"07/05/2018 11:13:54.267","0","0","49.314297886871337","143618048","0","0","0","34.969638875717756","44.830881737704367","1300","1300","1300","1300","11025"
"07/05/2018 11:13:55.259","12.098010456854531","13.106177994925742","49.364902858940162","143622144","968.84900408643375","2776.4933998481147","0","23.593377072664346","30.991863586074825","1500","1500","1500","1500","11027"
"07/05/2018 11:13:56.272","6.9084676122616067","5.9215436676528057","49.357137235197499","142458880","937.57774737836087","525.04353853188206","0","22.135798817998609","29.990096953730404","1500","1500","1500","1500","11028"
"07/05/2018 11:13:57.264","3.0246292648108493","2.0164195098738995","49.333744065215285","142172160","691.63189188674755","108.88665353319058","0","21.616473308647556","29.694957546149936","400","400","400","400","11028"
"07/05/2018 11:13:58.261","0","0","49.257948936256099","142159872","0","0","0","26.339633194192345","30.159739419494457","400","400","400","400","11028"
"07/05/2018 11:13:59.268","0","0","49.258237739386558","142151680","0","0","0","20.052094614008652","30.147333645005453","400","400","400","400","11028"
"07/05/2018 11:14:00.265","0","0","49.289364449048733","142151680","0","0","0","23.991652258618302","29.720319935429991","400","400","400","400","11028"
"07/05/2018 11:14:01.252","0","0","49.270720511970744","142446592","0","0","0","22.892294622920538","29.583996208712762","400","400","400","400","11028"
"07/05/2018 11:14:02.259","0","0","49.254483275407573","142454784","0","0","0","31.334490394065384","37.606872671947954","400","400","400","400","11028"
"07/05/2018 11:14:03.269","13.872128443977861","12.881262126550871","49.26475187513622","142159872","1059.2360933294524","2723.8915066067957","0","24.116046721818172","35.02954150189948","400","400","400","400","11030"
