"(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600)","\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec","\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec","\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use","\\DESKTOP-0I0PA3Q\Memory\Cache Bytes","\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec","\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec","\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections","\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time","\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance","\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency","\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency","\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency","\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency","\\DESKTOP-0I0PA3Q\TCPv4\Connections Active"
"07/05/2018 11:26:54.176"," "," ","47.840079303793623","144494592"," "," ","0"," "," ","400","400","400","400","12448"
"07/05/2018 11:26:55.165","0","0","47.841298707723922","144510976","0","0","0","29.937717682339404","44.605758833500964","400","400","400","400","12448"
"07/05/2018 11:26:56.175","0","0","47.778563957609833","144510976","0","0","0","13.428530948459205","41.096784770316837","400","400","400","400","12448"
"07/05/2018 11:26:57.168","0","0","47.631434106182176","144510976","0","0","0","20.121983466312464","32.583520240965413","400","400","400","400","12448"
"07/05/2018 11:26:58.161","0","1.0075699731752534","47.594017895775387","144519168","0","66.499618229566721","0","30.333369069824801","55.244898671038406","1500","1500","1500","1500","12449"
"07/05/2018 11:26:59.171","0","0","47.531026426593549","144519168","0","0","0","29.248709496551484","48.78298715962503","400","400","400","400","12449"
"07/05/2018 11:27:00.164","0","0","47.537219675150055","144519168","0","0","0","24.851832669876483","39.53678155096619","400","400","400","400","12449"
"07/05/2018 11:27:01.173","9.9114220597205946","9.9114220597205946","47.441561205182587","144527360","1249.8303217307671","819.67460433889323","0","34.55726875784012","44.688055419494788","1300","1300","1300","1300","12450"
"07/05/2018 11:27:02.167","0","0","47.445636556354728","144527360","0","0","0","31.23665912502771","38.739330992202845","1500","1500","1500","2500","12450"
"07/05/2018 11:27:03.174","0.9919288117450582","1.9838576234901164","47.447016403881605","144527360","63.483443951683725","128.95074552685756","0","16.256983423200133","30.540118692109125","400","400","400","400","12450"
"07/05/2018 11:27:04.171","0","0","47.449840267060758","142852096","0","0","0","23.15329012821017","30.514618966738325","400","400","400","400","12450"
