(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
08:04.4, , ,49.24944524,143507456, , ,0, , ,400,400,400,400,10768,3.959292889,
08:05.4,0,0,49.2366095,143523840,0,0,0,36.48845629,43.23506944,400,400,400,400,10768,2.851392031,
08:06.4,10.11098856,8.08879085,49.23288712,142671872,1654.157729,647.103268,0,20.19997375,36.75123036,1300,1300,1300,1300,10769,3.504598856,
08:07.4,0.987920137,3.951680546,49.20978275,142667776,65.20272901,304.279402,0,28.62706979,36.2124693,400,400,400,400,10770,2.6522789,
08:08.4,11.9950678,9.995889837,49.22656551,142663680,960.6050133,2494.974103,0,22.68587677,33.60186679,400,400,400,400,10771,2.657901049,
08:09.4,10.06751486,8.05401189,49.19030451,142675968,1647.045432,644.3209512,0,20.93687366,28.86638499,400,400,400,400,10772,2.465476036,
08:10.4,0,1.005877784,49.21437154,142962688,0,66.38793376,0,32.82709608,41.25504722,400,400,400,400,10773,2.935343981,
08:11.4,14.89123561,12.90573753,49.158536,142667776,1167.472872,2763.81333,0,22.427641,33.24309049,400,400,400,400,10774,2.812685966,
08:12.4,7.042907246,6.036777639,49.11354667,142667776,955.8231262,535.2609507,0,18.24780444,29.64205246,400,400,400,400,10775,2.882900953,
08:13.4,2.974140071,1.982760047,49.1098564,142680064,680.0866961,107.0690425,0,29.52163886,31.68467244,400,400,400,400,10775,2.764292955,
08:14.4,17.08598989,17.08598989,49.12442499,142675968,1300.545348,2977.987533,0,28.94832601,36.29723556,400,400,400,400,10777,2.847012043,
08:15.4,8.472152507,7.530802229,49.19293582,142925824,1236.934266,592.1093252,0,28.65901303,31.38733288,400,400,400,400,10778,3.260064125,
08:16.4,0,0,49.3795998,142737408,0,69.88186092,0,30.51716721,41.30691426,400,400,400,400,10778,2.763350964,
08:17.4,13.06978438,13.06978438,49.37096775,142737408,1020.44855,2699.413159,0,25.76902852,37.47173762,1500,1500,1500,1500,10780,3.90417099,
08:18.4,10.00041536,8.000332285,49.31054345,143003648,1356.056322,629.0261259,0,28.51772873,29.8583908,1400,1400,1400,1400,10781,3.49853611,
08:19.4,14.05986125,14.05986125,49.18792989,142995456,1085.622144,2807.955147,0,30.18073856,39.58155162,1500,1500,1500,1500,10783,2.755464077,
08:20.4,6.950347928,6.950347928,49.19630521,143290368,689.0773517,571.9143438,0,34.05234341,43.24864541,1500,1500,1500,1500,10784,3.532850027,
08:21.4,3.02393512,2.015956746,49.18189709,143007744,691.473164,108.8616643,0,31.88422173,42.26925761,700,700,700,700,10784,2.725029945,
08:22.4,11.94962861,12.94543099,49.16736059,142999552,956.9660912,2742.439766,0,36.59207451,45.04226485,600,600,600,600,10786,3.421781063,
08:23.4,5.984544009,8.976816013,49.16264344,142999552,614.4131849,464.7995847,0,24.03204319,39.2060347,400,400,400,400,10787,2.679058075,
08:24.4,24.18354703,18.13766027,49.12464962,143011840,5817.150708,5676.080017,0,30.71944256,36.751359,400,400,400,400,10787,5.028060913,
08:25.4,13.87038482,12.87964305,49.12288469,143015936,1059.102955,2735.438035,0,28.40961055,33.47231597,500,500,500,500,10789,3.318238974,
08:26.4,10.04606842,8.036854739,49.10404823,142983168,1643.536794,642.9483791,0,21.49451532,29.73050999,500,500,500,500,10790,2.827029228,
08:27.4,0,5.027042427,49.02607101,142983168,0,3635.557083,0,30.11919222,33.41854079,400,400,400,400,10791,3.094559908,
08:28.4,11.89644005,15.86192006,49.02786802,142987264,952.7065738,4073.539346,0,21.77075372,32.84285086,1500,1500,1500,1500,10792,3.272776842,
08:29.4,11.07065143,10.06422857,49.08055878,142987264,1431.133303,1445.223223,0,21.36927074,33.22514439,400,400,400,400,10793,2.470440149,
08:30.4,15.85973538,16.85096884,49.08524385,143278080,1243.997994,4284.111018,0,32.23516478,36.7744675,400,400,400,400,10795,3.126207829,
08:31.4,1.006265314,1.006265314,49.08697667,143278080,54.33832697,54.33832697,0,21.76922225,29.93450264,900,900,900,900,10795,2.735394955,
08:32.4,9.031865445,9.031865445,49.0829334,143278080,1306.609868,1997.045804,0,28.64756174,31.93167411,1500,1500,1500,1500,10796,2.721966982,
08:33.4,11.8866335,14.85829188,49.09727738,143278080,950.9306803,2992.459985,0,26.10520742,34.86069795,400,400,400,400,10798,3.216618061,
08:34.4,1.004334072,3.013002216,49.08951173,142974976,54.23403989,1638.068872,0,19.56569079,30.05406474,400,400,400,400,10798,2.536050797,
08:35.4,9.064457136,9.064457136,49.09634677,142987264,1311.324799,849.0374851,0,26.4521811,30.53048968,400,400,400,400,10799,2.629353046,
