(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
26:29.4, , ,51.64437256,197521408, , ,0, , ,2701,2701,2701,2701,3472,1.676787853,
26:30.4,0,1.013733263,51.17708688,198074368,0,54.74159618,0,24.79197873,93.82908379,2701,2701,2701,2701,3472,1.180241823,
26:31.4,5.98307938,7.977439173,51.16364142,197312512,586.3417792,486.6237895,0,12.35413983,96.70794202,2701,2701,2701,2701,3472,1.184587002,
26:32.4,2.983214329,0,51.13479308,197316608,511.124055,0,0,7.55219339,89.81148081,2701,2701,2701,2701,3472,1.174899101,
26:33.4,1.01039835,2.020796701,51.13607665,197316608,1255.92515,375.8681863,0,9.614781472,95.66747195,2701,2701,2701,2701,3472,1.176398993,
26:34.4,7.959099206,6.964211805,51.134408,197316608,2108.166402,4658.06281,0,11.38311885,88.68297775,2701,2701,2701,2701,3472,1.180284023,
26:35.4,0.993466644,0,51.09285224,197324800,53.64719876,0,0,17.73453245,85.19266761,2701,2701,2701,2701,3472,1.17544508,
26:36.4,1.010744625,0,51.05912628,197652480,186.9877555,0,0,19.06523406,90.51353275,2701,2701,2701,2701,3472,1.153306961,
26:37.4,0.996310353,0.996310353,51.03968013,197652480,255.0554504,61.7712419,0,9.297601662,75.80240309,2701,2701,2701,2701,3472,1.173196793,
26:38.4,0,0,51.03172195,197652480,41.70715367,0,0,6.533469961,82.85806842,2701,2701,2701,2701,3472,1.160213947,
26:39.4,1.01030122,2.020602441,50.9916423,197652480,228.3280758,125.2773513,0,7.266174521,86.00543226,2701,2701,2701,2701,3472,1.17948103,
26:40.4,0.994285313,0.994285313,50.97883864,197652480,216.7541983,61.64568941,0,6.783051797,94.44357051,2701,2701,2701,2701,3472,1.169227839,
26:41.4,3.978482517,5.967723776,50.99225201,197652480,473.4394196,369.9988741,0,11.80506177,84.9727105,2701,2701,2701,2701,3472,1.169126987,
26:42.4,4.049703051,3.037277288,50.98949232,197660672,672.2507064,188.3111919,0,15.76072694,101.5871198,2701,2701,2701,2701,3472,1.165987015,
26:43.4,0.997348128,0,50.95242908,197660672,171.5438781,0,0,28.31835407,113.0540466,2701,2701,2701,2701,3472,1.175281048,
26:44.4,1.993450858,0.996725429,50.91507704,197701632,676.7765663,68.7740546,0,30.29992956,113.9899978,2701,2701,2701,2701,3472,1.188962936,
26:45.4,0,0,50.91106585,197705728,452.1352526,0,0,29.20526572,114.0037518,2701,2701,2701,2701,3472,1.192853928,
