(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
21:01.8, , ,47.47486998,142774272, , ,0, , ,400,400,400,400,11147,0.594209909,
21:02.8,29.92633787,29.92633787,47.54386217,142643200,3773.711206,2183.62512,0,39.60914374,76.24353649,2701,1500,2701,1500,11153,0.593416929,
21:03.8,28.87653195,27.88078947,47.52496151,142647296,3754.944896,2470.437095,0,41.2641607,57.59136203,400,400,400,400,11159,0.318873167,
21:04.8,19.10627902,18.10068538,47.45340218,142262272,2873.986601,1596.882688,0,26.50817374,37.31900613,400,400,400,400,11162,0.570487022,
21:05.8,25.95405877,24.95582574,47.43864107,142262272,2962.755632,2116.254023,0,24.39272235,36.1918298,400,400,400,400,11167,0.38318181,
21:06.8,30.14321333,30.14321333,47.44268433,142266368,3792.016237,2492.843742,0,36.79775131,40.63830726,400,400,400,400,11173,0.360911131,
21:07.8,25.71338428,24.72440796,47.44473804,142266368,3857.007642,1862.242408,0,30.46138138,39.98064898,400,400,400,400,11178,0.31683898,
21:08.8,28.22541402,27.21736352,47.42548441,142266368,3695.513136,2218.719152,0,36.22163592,38.4317064,400,400,400,400,11183,0.308802128,
21:09.8,22.11500728,22.11500728,47.42391204,142274560,2652.795646,1957.178144,0,31.66851917,40.35814023,500,500,500,500,11187,0.67789197,
21:10.8,29.71747294,29.71747294,47.53866369,142553088,3747.373338,2457.635012,0,40.42023782,44.14789507,1300,1300,1300,1300,11193,0.338609934,
21:11.8,33.17558335,32.17026265,47.46973569,142565376,4492.778243,2602.775312,0,35.18714272,44.23522295,1500,1500,1500,1500,11199,0.374057055,
21:12.8,22.02527329,24.02757086,47.45205444,142688256,3157.62327,1896.1758,0,46.04793391,44.14827572,1500,1500,1500,1500,11204,0.327057123,
21:13.8,0,0,47.45263205,142245888,0,0,0,25.45633396,41.07729881,1500,1500,1500,1500,11204,0.374469042,
21:14.8,0,0,47.49460496,142245888,0,0,0,24.1537998,37.32802533,400,400,400,400,11204,0.321068048,
21:15.8,7.0233844,8.026725029,47.45580888,142245888,576.9208614,721.4019119,0,32.21946699,32.25797315,1300,1300,1300,1300,11205,0.320729017,
21:16.8,29.97611817,29.97611817,47.4431015,142266368,3779.988502,2479.024973,0,33.6415281,32.37555962,400,400,400,400,11211,0.604298115,
21:17.8,29.70816143,29.70816143,47.44181792,142012416,3746.199156,2456.86495,0,38.48973612,42.86298775,1500,1500,1500,2300,11217,0.366990805,
21:18.8,30.20174095,30.20174095,47.44948727,142024704,3808.439534,2497.683976,0,33.9374346,41.99411242,1500,1500,1500,1500,11223,0.325282812,
21:19.8,29.72598952,29.72598952,47.44964772,142041088,3748.447279,2458.339334,0,31.48975645,42.80720844,1500,1500,1500,2300,11229,0.35163188,
21:20.8,30.28234038,30.28234038,47.45584099,141529088,3818.603122,2504.349549,0,35.71631286,40.50907638,1500,1500,1500,1500,11235,0.594200134,
21:21.8,30.07300118,30.07300118,47.41248822,141537280,3792.205449,2487.037198,0,32.23556168,44.08183793,1500,1500,2701,1500,11241,0.419314861,
21:22.8,29.72635653,29.72635653,47.41813595,141832192,3748.493559,2458.369685,0,35.77576341,42.47816678,2200,1500,1500,1500,11247,0.346050978,
21:23.8,22.13648279,25.15509408,47.41537626,141287424,3173.56667,1730.670473,0,34.35006907,40.34137315,1400,1400,1400,1400,11251,0.332263947,
21:24.8,5.026645516,7.037303722,47.37571377,141283328,1851.816208,416.2062487,0,34.43951247,39.37010347,1300,1300,1300,1300,11252,0.326953888,
21:25.8,0.990016257,0.990016257,47.37542496,141283328,53.46087788,53.46087788,0,23.03914585,30.05953922,400,400,400,400,11252,0.328433037,
21:26.8,0,0,47.36586233,141283328,0,0,0,19.27527189,29.76859275,400,400,400,400,11252,0.327495813,
21:27.8,17.11428734,18.12101013,47.36489964,141295616,1848.343033,1556.393425,0,20.14590815,30.71865694,400,400,400,400,11255,0.31692791,
21:28.8,29.74362747,29.74362747,47.30341638,141299712,3750.671424,2459.797992,0,39.23110788,35.95295946,400,400,400,400,11261,0.312102079,
21:29.8,20.15094716,20.15094716,47.3060798,141303808,2541.034437,1666.48333,0,38.1911493,53.36673139,400,400,400,400,11265,0.34414506,
21:30.8,30.94005778,29.9419914,47.29626045,141312000,3829.5807,2476.202689,0,35.65779596,54.1689933,2500,2500,1500,1500,11271,0.324982166,
21:31.8,29.74270332,29.74270332,47.30238953,141324288,3750.554889,2459.721565,0,43.481682,46.79179361,1500,1500,1500,1500,11277,0.313214064,
21:32.8,30.03043363,30.03043363,47.29285898,141893632,4419.478816,2483.516862,0,40.54580106,49.5127593,400,400,400,400,11283,3.396146059,
21:33.8,31.14113474,30.13658201,47.30232534,141905920,3219.591511,2492.295332,0,41.15270053,46.37696039,400,400,400,400,11289,0.31971097,
21:34.8,30.09911278,30.09911278,47.31355662,141914112,3794.494818,2489.196627,0,31.79682888,40.94084322,400,400,400,400,11295,0.328589916,
21:35.8,21.08302846,20.07907473,47.3354095,141926400,2584.176917,1660.53948,0,34.12835019,41.55710188,400,400,400,400,11299,0.333378792,
21:36.8,29.7082614,29.7082614,47.34173111,141942784,3743.240937,2456.873218,0,36.15375136,40.8805264,400,400,400,400,11305,0.365350008,
21:37.8,22.10636499,22.10636499,47.28602393,141950976,2640.705782,1770.518869,0,35.24146877,40.39091564,400,400,400,400,11309,0.334228992,
21:38.8,15.06611947,13.05730354,47.28259038,141955072,2094.190606,1005.412372,0,19.58853427,31.56271352,400,400,400,400,11311,0.326536894,
21:39.8,21.74826145,20.75970411,47.28608812,141672448,3116.921288,1700.318622,0,27.79247472,34.8219292,1400,1400,1400,1400,11315,0.395781994,
21:40.8,20.08747366,20.08747366,47.31121411,141668352,3167.794597,1661.234072,0,35.62799295,37.31264736,400,400,400,400,11319,0.351593971,
21:41.8,30.0824745,30.0824745,47.31121411,141684736,3159.662572,2487.820641,0,31.47480588,43.42247947,2300,1500,1500,1500,11325,0.376790047,
21:42.8,32.63341575,32.63341575,47.34189155,142249984,4484.622437,2625.506631,0,40.89380599,39.85465443,1800,1800,1800,1500,11332,0.326390982,
21:43.8,28.1142322,27.11015248,47.33553786,141967360,3139.757289,2358.583266,0,34.48155513,39.3102635,1500,1500,1500,1500,11337,0.34069109,
21:44.8,31.08339949,31.08339949,47.34015873,141975552,3847.322705,2541.819926,0,36.18871148,40.80873802,1500,1500,1500,2100,11343,0.322633028,
21:45.8,30.21338644,30.21338644,47.36015043,141987840,3809.90803,2498.647058,0,35.08191722,40.54164385,1400,1400,1400,1400,11349,0.311414957,
21:46.8,29.71581689,29.71581689,47.36374443,141996032,3747.164509,2457.498056,0,34.61155634,43.70707881,1300,1300,1300,1300,11355,0.365787029,
21:47.8,30.04563953,30.04563953,47.37102872,141996032,3788.755145,2484.774389,0,32.30588614,39.94780188,1300,1300,1300,1300,11361,0.357039928,
21:48.8,22.08519061,21.08131831,47.37385259,141996032,3166.213236,1726.660357,0,35.29201761,45.93142519,1500,1500,1500,1500,11365,0.315239191,
21:49.8,21.14233575,20.13555786,47.38033464,142000128,2593.459852,1665.210635,0,33.558296,37.90428764,400,400,400,400,11369,0.325520992,
21:50.8,12.72014106,14.67708583,47.38466671,142004224,1905.085741,1085.125879,0,31.1761664,31.75800593,400,400,400,400,11372,0.329746008,
21:51.8,2.038541885,3.057812827,47.39214355,142249984,1178.277209,189.5843953,0,21.18569326,34.86099549,400,400,400,400,11372,0.305227995,
21:52.8,0.988847449,1.977694898,47.38870998,142540800,53.39776225,107.7843719,0,23.90870286,29.43442069,400,400,400,400,11372,0.32676816,
21:53.8,8.052854783,8.052854783,47.3844421,142245888,645.2349895,723.7503236,0,21.34215603,30.96496819,400,400,400,400,11373,0.68769002,
21:54.8,30.19908924,30.19908924,47.3823242,142270464,3807.098516,2497.46468,0,26.87350275,32.30050118,400,400,400,400,11379,0.379221916,
21:55.8,29.76121947,29.76121947,47.3959301,142270464,3749.913653,2461.25285,0,32.97126095,46.25722327,1500,1500,1500,2000,11385,0.497145891,
21:56.8,26.12273075,25.11801033,47.39852933,142274560,3623.02181,2024.511633,0,28.96126169,42.85222245,1300,1300,1300,1300,11390,3.553663015,
21:57.8,24.82384379,25.81679755,47.40828451,142274560,2728.63691,2158.681456,0,30.95135857,45.7392801,1500,1500,1500,1500,11395,0.328083992,
21:58.8,32.18194108,33.18762673,47.41274492,142278656,3910.105841,2658.027196,0,41.47242654,39.25379723,1500,1500,2300,1500,11401,0.363425016,
21:59.8,29.81324795,29.81324795,47.41245612,142266368,3757.463017,2465.555606,0,34.00952956,41.91764797,1500,1500,1500,1500,11407,0.326307058,
22:00.8,30.34800431,30.34800431,47.43369931,142290944,3826.883344,2509.779957,0,37.16522393,39.53916111,1500,1500,1500,1500,11413,0.313323021,
22:01.8,29.91291911,29.91291911,47.44210673,142295040,3772.019099,2473.79841,0,41.16312229,39.52615342,1500,1500,1500,1500,11419,0.305975914,
22:02.8,21.81384718,20.82230867,47.45016115,141787136,3127.312455,1705.446234,0,37.27460986,40.97574222,1500,1500,1500,1500,11423,0.485546827,
22:03.8,21.57884266,20.59798617,47.45378726,141479936,3093.621352,1687.073153,0,34.06307295,40.85175657,1500,1500,1500,1500,11427,0.38301301,
22:04.8,30.1290053,30.1290053,47.45109176,141500416,3799.267568,2491.668738,0,32.15689519,40.92968737,2200,2200,2200,2200,11433,0.301555157,
22:05.8,30.70259916,30.70259916,47.46055811,141500416,3871.597754,2539.104951,0,35.24769417,39.78868061,1500,1500,1500,1500,11439,0.307551861,
22:06.8,29.6884909,29.6884909,47.48090279,141508608,3743.718702,2455.238197,0,37.34868392,39.49211595,1500,1500,1500,1500,11445,0.329432964,
22:07.8,29.95989798,29.95989798,47.48337368,141508608,3777.943135,2477.683563,0,38.39872978,44.38938501,1500,1500,1500,1500,11451,0.395500898,
22:08.8,24.10628482,24.10628482,47.4956639,141512704,3288.499022,1836.095361,0,38.75984503,40.94743654,1300,1300,1300,1300,11456,0.309583902,
22:09.8,26.19938089,26.19938089,47.50275566,141512704,3054.243211,2324.69122,0,37.83674543,37.71338333,700,700,700,700,11461,0.31801486,
22:10.8,30.12122685,30.12122685,47.49832732,141500416,3798.286706,2491.02546,0,42.3522546,43.02906103,1400,1400,1400,1400,11467,0.328383207,
22:11.8,29.68055015,29.68055015,47.50413551,141795328,3742.717374,2454.581497,0,42.78748196,42.97598651,1300,1300,1300,1300,11473,0.307066917,
22:12.8,15.03816833,16.04071288,47.50493775,142090240,2585.562408,1177.989852,0,32.63837694,43.2154573,1500,1500,1500,1500,11476,0.361951113,
22:13.8,0,0,47.50917355,141787136,0,0,0,25.07459212,28.86358788,400,400,400,400,11476,0.551450968,
22:14.8,0,0,47.50782578,141787136,0,0,0,19.01631524,30.43304569,400,400,400,400,11476,0.375375986,
22:15.8,16.74765088,17.73280681,47.51202949,141803520,1808.746295,1523.051074,0,17.2432111,32.63327408,400,400,400,400,11479,0.343019009,
22:16.8,30.08735012,30.08735012,47.52184885,141819904,3794.01485,2488.223855,0,34.60334474,35.90958406,1500,1500,1500,1500,11485,0.306445122,
22:17.8,30.2389599,30.2389599,47.52618092,141824000,3813.132843,2500.761984,0,35.42633487,43.71924566,1500,2000,1500,1500,11491,0.304464102,
22:18.8,29.83301699,30.82745089,47.52852345,141828096,3761.943443,2230.515237,0,35.4866551,38.38084909,400,400,400,400,11497,0.510550976,
22:19.8,31.17774714,30.17201336,47.53234208,141828096,3859.000508,2788.899768,0,37.55559077,41.35338169,1500,1500,1500,1500,11503,0.315792084,
22:20.8,19.87626683,19.87626683,47.54196891,141832192,2506.397247,1643.767267,0,37.10984501,43.6645256,1300,1300,1300,1300,11507,0.394353151,
22:21.8,30.14312184,30.14312184,47.5537778,141840384,3801.047664,2492.836176,0,29.73345557,41.82039087,1300,1300,1300,1300,11513,0.310493946,
22:22.8,29.77089892,29.77089892,47.56343671,142139392,3754.110354,2462.053341,0,40.6760115,39.17669237,400,400,400,400,11519,0.335815907,
22:23.8,19.06240314,23.07554064,47.56565086,142401536,2464.066427,1421.653961,0,35.73746358,36.64957819,700,700,700,700,11523,0.374068022,
22:24.8,14.08178089,12.07009791,47.57694633,142401536,1497.697982,1125.53663,0,25.33045502,38.98020888,1300,1300,1300,1300,11525,0.954897881,
22:25.8,21.78545557,20.79520759,47.59122612,142405632,2604.352189,1691.343551,0,31.18605963,40.14444561,1500,1500,1500,1500,11529,0.561807156,
22:26.8,30.16471658,30.16471658,47.57864707,142405632,3803.77076,2494.622061,0,37.15235827,41.76795903,700,700,700,700,11535,0.852653027,
22:27.8,30.04888939,30.04888939,47.58394182,142123008,3789.164952,2485.043153,0,34.26464348,44.98124459,1500,1500,1500,1500,11541,0.453699112,
22:28.8,29.72260899,29.72260899,47.60066039,142123008,3831.244299,2499.671416,0,44.65349393,42.46689093,1500,1500,1500,1500,11547,0.320927143,
22:29.8,30.21804025,30.21804025,47.64385271,142114816,3810.494876,2499.031929,0,42.96027877,45.99142486,1500,1500,1500,1500,11553,0.367155075,
22:30.8,30.11075913,30.11075913,47.72404408,142139392,3839.121789,2490.15978,0,38.82075634,38.26216029,2300,2300,1500,1500,11559,0.328238964,
22:31.8,19.82437985,19.82437985,47.73415223,142151680,2499.854299,1639.476214,0,34.96794923,44.40704379,1500,1500,1500,1500,11563,0.321035862,
22:32.8,30.20400273,31.21080282,47.73630224,142442496,3808.724745,2497.871026,0,35.89273551,43.20048638,1500,1500,1500,1500,11569,0.353559971,
22:33.8,20.11796065,22.12975671,47.74958723,142422016,2536.874837,2183.804628,0,36.74344717,39.25585785,1500,1500,1500,1500,11573,0.325381994,
22:34.8,31.7393326,31.7393326,47.61307897,142422016,3892.03566,2727.598896,0,42.25387285,48.26791957,1500,1500,1500,1500,11579,0.332242012,
22:35.8,19.59080673,20.57034706,47.61705807,142430208,2470.400728,1830.760888,0,50.2302017,57.45103246,1500,1500,1500,1500,11583,0.312077045,
22:36.8,30.71501414,30.71501414,47.62597891,142467072,3873.163283,2540.131669,0,41.249403,54.27570992,1400,1400,1400,1400,11589,0.571298122,
22:37.8,28.11906142,40.17008775,47.64487956,142548992,5108.630909,4580.394255,0,45.87762311,54.58042451,1500,2701,1500,1500,11594,0.313662052,
22:38.8,9.956762215,9.956762215,47.64035497,142548992,1255.547715,823.4242352,0,28.41933255,39.47891441,1400,1400,1400,1400,11596,0.430419922,
22:39.8,22.07913987,20.07194534,47.65235638,142553088,2639.460812,1659.949879,0,34.15055876,38.50595618,400,400,400,400,11600,0.312883854,
22:40.8,20.75827843,21.74676788,47.70055466,142528512,2546.348821,1811.90116,0,33.57971408,39.22567237,400,400,400,400,11604,0.332089901,
22:41.8,25.15628877,25.15628877,47.71233146,142565376,3348.805161,2027.596875,0,37.88854411,42.00849111,1400,1400,1400,1400,11609,0.310072184,
22:42.8,14.90854276,16.89634847,47.66413319,142860288,1705.537292,1758.214143,0,31.67107699,42.01317897,1300,1300,1300,1300,11612,0.312860966,
22:43.8,12.07282145,14.08495836,47.65636757,141787136,1389.380536,1317.949675,0,26.51427797,29.72990847,400,400,400,400,11614,0.324248075,
22:44.8,29.52030799,29.52030799,47.68020998,141512704,3722.510838,2441.329471,0,32.32017372,33.65778612,400,400,400,400,11620,0.37042594,
22:45.8,30.49942554,30.49942554,47.68614651,141512704,3845.977561,2522.302492,0,36.49560819,41.98615704,600,600,600,600,11626,0.318324089,
22:46.8,29.59413177,31.56707389,47.69740988,141516800,3731.820017,2624.013017,0,35.22740093,43.54703048,1300,1300,1300,1300,11632,0.311909914,
22:47.8,23.47839911,22.45759915,47.70902625,141516800,3274.726275,1798.649532,0,39.4205163,40.48722479,1500,1500,1500,1500,11636,0.376795053,
22:48.8,26.60405929,27.58939482,47.7167277,141496320,3051.584134,2338.201211,0,39.18587231,40.57619966,1500,1500,1500,1500,11642,0.319855928,
22:49.8,30.07054274,32.07524559,47.73222689,141520896,3791.895439,2666.25479,0,35.38981911,43.72101389,1500,1500,1500,1500,11648,0.330118179,
22:50.8,30.13287889,30.13287889,47.7463462,141529088,3799.756028,2491.989084,0,34.87442559,47.27047402,2700,1500,2700,1500,11654,0.302666187,
22:51.8,30.09465511,30.09465511,47.76357821,141533184,3794.93601,2488.827978,0,36.11412788,46.20891152,1500,2701,1500,1500,11660,0.652203798,
22:52.8,31.08919046,32.09206757,47.76357821,142090240,3848.039477,2667.653117,0,38.11616869,41.4172177,1200,1200,1200,1200,11666,0.307701111,
22:53.8,29.72762446,29.72762446,47.77670278,141799424,3748.653445,2458.474543,0,38.82673203,44.70212626,1500,1500,1500,1500,11672,0.72192812,
22:54.8,30.06487619,30.06487619,47.79765714,141803520,3791.180888,2486.365261,0,42.85851837,39.58386338,700,700,700,700,11678,0.452737093,
22:55.8,21.14703043,21.14703043,47.78649002,141778944,2606.11975,1905.246742,0,37.85161198,42.8759954,400,400,400,400,11682,0.349370003,
22:56.8,29.71916253,29.71916253,47.72927466,141807616,3747.586395,2457.774741,0,33.81221646,32.94056014,400,400,400,400,11688,3.496591091,
