(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
12:05.1, , ,61.54808834,202801152, , ,0, , ,2701,2701,2701,2701,1556,3.08822298,
12:06.2,3.925407445,1561.330811,61.59185827,204378112,465.1607823,236.5057986,0,35.25681952,100.9178347,2701,2701,2701,2701,1557,3.116456032,
12:07.1,1.038750146,32.20125453,61.69544281,203161600,66.48000935,67.5187595,0,30.97577862,101.0307871,2701,2701,2701,2701,1557,3.079014063,
12:08.1,3.966755497,19.83377748,61.56625095,203100160,388.7420387,238.9970187,0,17.93153272,95.81451761,2701,2701,2701,2701,1557,3.118206024,
12:09.1,0.994158415,16.90069305,61.57324642,202665984,102.3983167,0,0,14.18329607,104.0317886,2701,2701,2701,2701,1557,3.57841897,
12:10.1,3.036395133,20.24263422,61.56766288,202670080,292.5060645,243.9237424,0,18.55704567,97.51355339,2701,2701,2701,2701,1557,3.069158077,
12:11.1,3.986858204,22.92443467,61.52299444,202383360,341.873091,784.4143516,0,19.79215809,104.6851457,2701,2701,2701,2701,1557,3.092136145,
12:12.1,4.975765968,33.83520858,61.46985441,202248192,707.5539206,608.0386012,0,24.59156928,100.4808308,2701,2701,2701,2701,1560,3.66255188,
12:13.1,7.83083714,27.40792999,61.74258212,202256384,819.3013358,964.1718228,0,38.38636194,104.0511338,2701,2701,2701,2701,1561,3.14039588,
12:14.1,3.068681602,32.73260375,61.87164564,202153984,289.4789645,870.4826811,0,43.71058239,109.0511348,2701,2701,2701,2701,1561,3.116306782,
12:15.1,3.027263697,1697.285846,61.85508751,203186176,376.3897864,188.6994371,0,36.14317008,107.3560501,2701,2701,2701,2701,1561,3.117837191,
12:16.2,8.440516871,41.26474915,61.92767372,203640832,831.8598294,762.460024,0,41.7166153,105.3230529,2701,2701,2701,2701,1561,3.585055828,
12:17.1,5.313462127,25.50461821,62.17617394,203104256,639.7408401,563.2269855,0,82.57798743,113.8691239,2701,2701,2701,2701,1561,3.111351013,
12:18.1,2.989989493,28.90323177,62.17161723,203104256,329.8955074,240.1958226,0,23.68996412,106.2314982,2701,2701,2701,2701,1561,3.079912901,
12:19.1,5.046216254,34.31427053,62.12341899,202686464,738.7660596,8610.863415,0,10.49729428,95.71872556,2701,2701,2701,2701,1561,3.099562168,
12:20.1,3.976284392,29.82213294,62.12518389,201895936,394.6462259,294.245045,0,10.30505437,91.54732557,2701,2701,2701,2701,1561,3.079402924,
12:21.1,2.985893776,28.86363983,62.11472276,201908224,287.6411004,239.8668,0,12.52889144,90.69899877,2701,2701,2701,2701,1561,3.10451889,
12:22.1,8.085651503,31.33189958,62.17123218,201928704,1226.997616,584.1883211,0,15.86017498,101.6613944,2701,2701,2701,2701,1561,3.125154972,
12:23.1,2.998667355,1667.259049,62.11282948,202366976,497.7787809,77.96535123,0,25.43435529,103.8945616,2701,2701,2701,2701,1561,3.092102051,
12:24.1,2.977849746,38.7120467,61.82277351,202641408,328.5560887,239.2205963,0,27.12659843,94.88407206,2701,2701,2701,2701,1561,3.114440918,
12:25.1,0,35.28121695,61.74136274,203284480,0,0,0,21.64590177,105.2541573,2701,2701,2701,2701,1561,3.141420841,
12:26.1,3.987023256,37.87672093,61.76186785,202878976,556.1897442,240.2181512,0,10.05965399,93.97639117,2701,2701,2701,2701,1561,3.098654985,
12:27.1,0,46.86034475,61.84716145,202457088,41.87520169,0,0,17.43810837,91.48904001,2701,2701,2701,2701,1561,3.100322008,
12:28.1,2.990977741,36.88872547,61.82639961,202039296,330.0045441,186.4376125,0,11.98278404,97.61651184,2701,2701,2701,2701,1561,3.141391039,
12:29.1,2.990915815,66.79711988,61.86984865,202174464,329.9977116,240.2702372,0,18.2184699,101.9881383,2701,2701,2701,2701,1563,3.071449995,
12:30.1,4.046606146,49.57092529,61.829769,202035200,431.9752061,432.9868576,0,20.56192715,89.18586402,2701,2701,2701,2701,1564,3.111418962,
12:31.1,4.979421942,1609.349172,61.89834402,202510336,453.1273967,359.5142642,0,30.73884772,102.4064477,2701,2701,2701,2701,1564,3.606934071,
12:32.1,7.051664545,48.35427116,61.96018026,202981376,1092.000624,242.7787365,0,59.87267824,105.4386733,2701,2701,2701,2701,1564,3.108810902,
12:33.1,6.975090852,48.82563596,61.91519095,203067392,959.5732129,426.4769835,0,20.2047621,95.05805384,2701,2701,2701,2701,1564,3.105605841,
12:34.1,2.991066693,46.86004485,61.84209133,202985472,371.8892921,240.2823576,0,19.77539753,101.2728485,2701,2701,2701,2701,1564,3.603722095,
12:35.1,0.995801635,45.80687523,61.8494077,202608640,137.4206257,186.2149058,0,39.70861079,110.1054917,2701,2701,2701,2701,1565,3.105676174,
12:36.1,5.055446031,47.52119269,61.77127004,202608640,725.96205,243.6724987,0,26.93080888,101.4042578,2701,2701,2701,2701,1565,3.609634876,
12:37.1,0,43.75859127,61.77977372,202604544,41.76956439,0,0,20.36504648,98.36043473,2701,2701,2701,2701,1565,3.093034029,
12:38.1,3.983566014,48.79868367,61.79334753,202424320,383.4182288,426.2415635,0,14.02636649,95.09395152,2701,2701,2701,2701,1565,3.1004529,
12:39.1,1.010341303,1603.411649,61.96393472,203632640,158.6235846,188.9338237,0,34.08897744,101.6151468,2701,2701,2701,2701,1566,3.082710981,
12:40.1,3.978188198,56.68918182,61.86923894,203649024,287.4240973,239.6858389,0,36.65524863,106.0641918,2701,2701,2701,2701,1566,3.07940793,
12:41.1,2.98578269,54.73934933,61.87883368,203624448,287.6303992,186.1137877,0,33.52931822,101.1629455,2701,2701,2701,2701,1566,3.101415157,
12:42.1,5.977497836,55.7899798,61.85261664,203530240,836.8496971,240.0961631,0,35.41080892,106.3436966,2701,2701,2701,2701,1566,3.078660011,
12:43.1,3.037185567,54.6693402,61.9316528,203108352,421.1563986,80.99161511,0,27.23588067,101.0403992,2701,2701,2701,2701,1566,3.591552019,
12:44.1,3.988570912,57.83427823,61.90957531,203243520,342.0199557,426.7770876,0,20.53384503,101.6435797,2701,2701,2701,2701,1566,3.114182949,
12:45.1,3.974792486,79.49584971,61.86920685,202981376,487.9057776,239.4812473,0,16.93871437,107.1578181,2701,2701,2701,2701,1566,3.602340937,
12:46.1,20.91815791,70.72329578,62.2361811,203698176,5758.470041,5347.079602,0,34.23807635,110.8078333,2701,2701,2701,2701,1566,3.579935074,
12:47.1,71.87483817,1777.636843,62.78872827,202727424,68401.56254,5884.625835,0,53.7355855,106.2770308,2701,2701,2701,2701,1566,3.160347939,
12:48.1,5.956018708,67.50154535,62.63604696,203067392,975.7943983,395.0825743,0,24.73941029,96.86351146,2701,2701,2701,2701,1566,3.126775026,
12:49.1,120.2122256,193.9558597,62.72968379,203247616,66007.62389,24792.0037,0,30.18267558,99.16780345,2701,2701,2701,2701,1596,3.120746136,
12:50.1,231.5668504,262.3761738,63.0336024,202706944,219402.1369,24870.08096,0,52.25391556,112.7440125,2701,2701,2701,2701,1602,3.087244987,
12:51.1,353.0900582,289.4343857,63.09887221,202891264,471406.0609,17263.6173,0,39.77609874,106.9232392,2701,2701,2701,2701,1604,3.667042017,
12:52.1,409.3630811,360.9654755,63.12258627,202457088,568646.6593,21836.3947,0,32.65080949,109.8617126,2701,2701,2701,2701,1606,3.135925055,
12:53.1,352.9481285,335.0016135,63.07236638,202342400,518689.1798,15908.58853,0,17.43586942,97.5737406,2701,2701,2701,2701,1606,3.210354596,avg
12:54.1,340.2603106,389.0110568,63.33190535,202416128,498712.1748,20352.9391,0,50.25318146,106.834568,2701,2701,2701,2701,1610,49,total
12:55.1,344.5116647,2005.441802,63.42964963,204357632,510083.3646,19022.90362,0,50.26860385,103.6925011,2701,2701,2701,2701,1610,,
12:56.1,402.7575599,406.7452585,64.34076362,202842112,597246.5936,28181.0661,0,47.82433391,110.5714606,2701,2701,2701,2701,1611,,
12:57.1,500.3051396,434.5279699,64.42804676,202371072,743780.3301,25569.37981,0,36.15136102,96.29648046,2701,2701,2701,2701,1613,,
12:58.1,336.7540395,333.7650983,64.35193072,202571776,485764.7131,17854.93829,0,16.30321216,97.32770382,2701,2701,2701,2701,1614,,
12:59.1,493.0406387,381.483969,64.45869211,202981376,719748.6928,21482.62726,0,24.92072376,101.3759939,2701,2701,2701,2701,1614,,
13:00.1,385.0142096,402.1933213,64.57944449,202891264,531157.9235,22820.93411,0,34.48173289,110.7732616,2701,2701,2701,2701,1616,,
13:01.1,385.2186367,307.3765288,64.59805634,202481664,561312.4545,14501.58552,0,38.01549159,113.1317162,2701,2701,2701,2701,1618,,
13:02.1,271.7249113,290.6361689,64.48943377,202805248,365582.4779,15783.93276,0,52.15287695,113.9964505,2701,2701,2701,2701,1618,,
13:03.1,379.8705056,2156.977472,64.82017908,203923456,561277.8675,26818.25152,0,39.25636513,106.5123212,2701,2701,2701,2701,1622,,
13:04.1,450.2751377,497.8813197,64.78789716,202018816,627813.4672,26811.2066,0,34.12171178,99.41113004,2701,2701,2701,2701,1622,,
13:05.1,454.4606166,531.2006768,64.74938988,201609216,659465.2095,26366.68875,0,22.15715695,98.71707395,2701,2701,2701,2701,1622,,
13:06.1,426.5341971,494.4149364,64.74643766,201678848,612740.1831,25065.21624,0,29.15868769,108.7004783,2701,2701,2701,2701,1622,,
13:07.1,332.1559527,399.9835947,64.87046314,203223040,445371.2593,22291.35505,0,54.01286198,113.9970308,2701,2701,2701,2701,1623,,
13:08.1,311.0854577,385.8656158,65.15102067,202485760,463798.5053,19177.62081,0,15.50065279,100.0390867,2701,2701,2701,2701,1623,,
13:09.1,423.3224963,451.2119784,65.35270248,201916416,609849.3447,28937.32979,0,35.02453125,109.7402557,2701,2701,2701,2701,1623,,
13:10.1,344.0375717,427.561144,65.36733524,202162176,475281.9393,33909.57603,0,21.53881324,95.11863629,2701,2701,2701,2701,1630,,
13:11.1,362.5651231,751.4617914,65.39146646,201469952,417714.5191,23433.04977,0,41.0581936,103.5218889,2701,2701,2701,2701,1637,,
13:12.1,317.821819,1477.871458,65.29231024,201637888,425904.0809,12564.88698,0,48.39463309,109.8033483,2701,2701,2701,2701,1638,,
13:13.1,23.93582327,116.6871384,65.21077111,201375744,14761.42168,5109.300942,0,25.98534541,99.01443718,2701,2701,2701,2701,1644,,
13:14.1,326.9637174,315.0016301,65.32064517,203177984,462263.8954,16840.62513,0,49.37941468,113.4312178,2701,2701,2701,2701,1644,,
13:15.1,524.3032028,496.0714919,65.29481322,201945088,762726.0512,26766.68678,0,33.43768707,103.957749,2701,2701,2701,2701,1644,,
13:16.1,441.3621007,481.1244521,65.69458283,201728000,643883.6851,25845.52842,0,33.98781633,105.5590793,2701,2701,2701,2701,1644,,
13:17.1,358.981654,467.6733215,65.98319478,200638464,520250.1734,27874.92544,0,53.25896914,113.0250495,2701,2701,2701,2701,1648,,
13:18.1,359.6850411,423.5164709,66.18092958,200642560,454119.0821,29148.67309,0,54.48442945,113.2556866,2701,2701,2701,2701,1648,,
13:19.1,404.9661932,2076.698557,66.22890322,202231808,599623.2682,24244.10909,0,58.69059577,110.4338391,2701,2701,2701,2701,1648,,
13:20.1,129.5669427,224.2504778,65.97177094,201555968,166118.774,11415.84433,0,52.12345994,100.1449697,2701,2701,2701,2701,1648,,
13:21.1,155.6421063,255.4126872,65.93153087,200798208,214131.6116,15708.87797,0,30.23964615,105.9674139,2701,2701,2701,2701,1648,,
13:22.1,287.4027186,376.218142,65.88018785,200413184,375045.5789,30706.18629,0,27.87635981,104.6792335,2701,2701,2701,2701,1648,,
13:23.1,224.8488565,297.7728099,65.9205242,200323072,316844.4494,13398.76361,0,39.07714554,94.42457896,2701,2701,2701,2701,1650,,
13:24.1,452.6385505,558.320679,65.90534592,200392704,668589.0131,26851.23666,0,29.50845333,109.909465,2701,2701,2701,2701,1650,,
13:25.1,419.4990517,522.1318363,65.86799388,200445952,632105.3561,24156.56891,0,31.10636059,111.8688427,2701,2701,2701,2701,1650,,
13:26.1,411.7777345,484.3858857,65.63833013,200224768,531671.6956,22928.26168,0,25.34134683,97.60180302,2701,2701,2701,2701,1656,,
13:27.2,233.6124031,333.9927325,65.79848825,200089600,239814.9949,28823.75533,0,42.25331368,106.032333,2701,2701,2701,2701,1693,,
13:28.1,409.6141706,2344.649419,66.05250786,200232960,259576.7527,77037.68152,0,62.43026358,114.0007554,2701,2701,2701,2701,1725,,
13:29.1,425.3355112,531.669389,66.56224778,200523776,258604.9846,77285.84744,0,80.59120012,114.0004855,2701,2701,2701,2701,1772,,
13:30.1,166.5826065,240.3976536,66.79091676,200552448,121536.4752,32805.80096,0,72.33240574,111.3708694,2701,2701,2701,2701,1779,,
13:31.1,55.83038652,157.5214477,66.80307865,200413184,19532.65951,14426.17309,0,35.36700527,99.72617454,2701,2701,2701,2701,1783,,
13:32.1,29.36540986,128.6002432,66.80882265,200458240,30492.43404,3017.549013,0,21.28848741,97.83809401,2701,2701,2701,2701,1783,,
13:33.1,4.972302055,136.2410763,66.77987801,200458240,436.5681205,479.3299181,0,18.41493059,98.60278829,2701,2701,2701,2701,1784,,
13:34.1,3.979573522,109.4382718,66.80477938,200466432,383.0339515,293.4935472,0,19.94262482,94.36271536,2701,2701,2701,2701,1784,,
13:35.1,4.015183295,109.4137448,66.40456053,200781824,307.1615221,173.6566775,0,34.47686298,102.6320319,2701,2701,2701,2701,1784,,
13:36.1,15.95599578,1771.115531,66.40109489,202518528,2107.188692,5296.393348,0,46.27970816,101.1354135,2701,2701,2701,2701,1786,,
13:37.1,44.89542532,145.6607132,65.33072124,202117120,26894.35512,4683.091699,0,53.62409787,112.3721876,2701,2701,2701,2701,1786,,
13:38.1,55.86064583,154.6142876,65.33996299,201158656,59789.84376,3865.357189,0,55.96137785,113.9926647,2701,2701,2701,2701,1787,,
13:39.1,215.5665897,297.5426167,65.59260275,200851456,200163.193,17263.54407,0,37.15213878,108.785898,2701,2701,2701,2701,1788,,
13:40.1,22.94433806,142.6539279,65.57752072,200863744,2492.952209,4513.051538,0,27.51125699,106.4023737,2701,2701,2701,2701,1788,,
13:41.1,45.74447467,170.0501124,65.43045506,201187328,23953.19916,6251.081908,0,32.02944874,105.2229797,2701,2701,2701,2701,1790,,
13:42.2,73.40441634,212.4864684,65.6277727,201289728,17713.64468,18718.12617,0,53.59647306,112.7249454,2701,2701,2701,2701,1809,,
13:43.1,213.8523186,343.2068918,66.10600086,200019968,109648.8644,57670.23283,0,79.62176323,114.0010276,2701,2701,2701,2701,1834,,
