(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
29:21.4, , ,45.2111241,155766784, , ,0, , ,2701,2701,2701,2701,1149,1.668362856,
29:22.4,0,0,45.27751704,156061696,0,0,0,13.50134583,88.43870848,2701,2701,2701,2701,1149,1.157535791,
29:23.4,0,0,45.16417732,156037120,60.68940205,0,0,22.56317631,97.82047007,2701,2701,2701,2701,1149,1.149550915,
29:24.4,0.993633625,0,45.15143783,156041216,243.4402381,0,0,22.7575025,92.82181753,2701,2701,2701,2701,1149,1.166521072,
29:25.4,0,0,45.37157103,156270592,59.66345771,0,0,22.31399584,107.2881518,2701,2701,2701,2701,1149,1.175187111,
29:26.4,0,0,45.33088169,156532736,0,0,0,15.9280367,90.40896722,2701,2701,2701,2701,1149,1.231287003,
29:27.4,0.993958057,0.993958057,45.29965873,156536832,66.59518979,64.60727368,0,11.09175418,94.13765785,2701,2701,2701,2701,1149,1.167564869,
29:28.4,0,0,45.27937822,156540928,41.81450272,0,0,14.05521811,93.52310511,2701,2701,2701,2701,1149,1.193692923,
29:29.4,0,0,45.38530529,156540928,42.44521592,0,0,10.77179786,89.17060879,2701,2701,2701,2701,1149,1.200248003,
29:30.4,0,0.996088147,45.27719616,156545024,41.83570216,214.1589515,0,15.18423441,89.01049787,2701,2701,2701,2701,1149,1.164322138,
29:31.4,1.991971765,0.995985883,45.26638201,156024832,466.121393,214.1369647,0,10.12930077,99.57382632,900,900,900,900,1149,1.143167019,
29:32.4,0,0.997120954,45.25758953,155504640,125.6372402,214.3810051,0,12.75332943,97.73795031,1000,1000,1000,1000,1149,1.158698082,
29:33.4,0,1.012162656,45.16379224,155545600,85.02166309,217.614971,0,14.99112707,95.41608008,1000,1000,1000,1000,1149,1.152521133,
29:34.4,0.995232847,0,45.17640337,155549696,327.4316066,0,0,17.97169361,83.8441124,2701,2701,2701,2701,1149,1.171764135,
29:35.4,0,0,45.18166605,155258880,143.1731613,0,0,12.22818638,87.17394632,2701,2701,2701,2701,1149,1.140789032,
29:36.4,0,0,47.06518477,155246592,143.5408866,0,0,13.55295307,80.5082863,2701,2701,2701,2701,1149,1.159132957,
29:37.4,0,0,45.14864605,155525120,42.49020851,0,0,11.87212616,89.11733702,2701,2701,2701,2701,1149,1.171071053,
29:38.4,0,0,45.130676,155516928,41.82843406,0,0,21.03165411,86.27938575,2701,2701,2701,2701,1149,1.147909164,
29:39.4,0.994348401,0.994348401,45.13029092,155496448,183.9544542,80.54222048,0,16.48879449,96.89155147,2701,2701,2701,2701,1149,1.145452976,
29:40.4,0,0,45.00312068,155500544,60.62350784,0,0,10.01362792,98.60169542,1200,1200,1200,1200,1149,1.159600019,
29:41.4,1.995378545,0,44.98312898,155500544,442.9740369,0,0,19.7174333,97.10998727,2701,2701,2701,2701,1149,1.170026064,
29:42.4,0,0,44.98675509,155795456,0,0,0,21.13674384,100.2139131,2701,2701,2701,2701,1149,1.153355837,
29:43.4,0,0,44.99689535,155508736,0,0,0,20.87070793,96.62204435,2701,2701,2701,2701,1149,1.14376092,
29:44.4,1.995675501,0,45.00296024,155774976,575.7523819,0,0,17.75228132,101.1983583,2701,2701,2701,2701,1149,1.158791065,
29:45.4,1.012820292,0,45.00430798,155815936,247.1281513,0,0,17.31581287,104.0831635,2701,2701,2701,2701,1149,1.656811953,
29:46.4,0,0,44.98852001,155815936,0,0,0,14.77146709,95.68346357,2701,2701,2701,2701,1149,1.157004833,
29:47.4,1.991404101,1.991404101,44.99679907,155820032,173.2521568,109.5272255,0,14.05766514,92.62939318,2701,2701,2701,2701,1149,1.163742065,
29:48.4,0.996949796,0,46.76980196,155901952,432.6762116,0,0,12.36865486,86.51130098,2701,2701,2701,2701,1149,1.159903049,
29:49.4,0,0,44.97815514,155803648,42.5957262,0,0,12.45688538,102.7058272,2701,2701,2701,2701,1149,1.161318064,
29:50.4,0,0,45.01085422,156045312,41.87548545,0,0,11.18926954,91.85154051,2701,2701,2701,2701,1149,1.133843899,
29:51.4,1.9875081,0,44.99667071,156053504,423.3392253,0,0,18.49230652,102.3683637,2701,2701,2701,2701,1149,1.155049086,
29:52.4,0,0,45.00796619,156385280,83.71438172,0,0,14.35122203,97.49390804,1000,1000,1000,1000,1149,1.147814989,
29:53.4,0,0,45.00764528,156078080,234.4699348,0,0,10.38732234,93.18942878,2701,2701,2701,2701,1149,1.158161879,
29:54.4,1.989694079,0.99484704,45.01050125,156098560,334.2686053,64.66505757,0,14.50417996,91.06492023,2701,2701,2701,2701,1149,1.148177862,
29:55.4,0.994999906,0.994999906,45.02914516,155574272,95.51999098,54.72499483,0,13.71218859,90.68119234,2701,2701,2701,2701,1149,1.135874033,
29:56.4,9.084355877,9.084355877,45.02064149,155574272,2321.557613,3049.315456,0,12.07191279,90.66310716,2701,2701,2701,2701,1149,1.169285059,
29:57.4,6.953906532,3.973660876,45.00835125,155545600,2740.832589,792.7453447,0,13.46844446,97.59491863,2701,2701,2701,2701,1149,1.165215015,
29:58.4,0,0,44.99798637,156094464,59.81356542,0,0,10.04613214,98.67358537,2701,2701,2701,2701,1149,1.14281702,
29:59.4,0,0,45.00321696,155549696,0,0,0,13.74460614,93.46719663,2701,2701,2701,2701,1149,1.161462069,
30:00.4,0,0,45.06611215,155852800,0,0,0,14.18090737,91.08252766,2701,2701,2701,2701,1149,1.143979073,
30:01.4,1.989800215,0,45.02099446,155856896,483.5214523,41.78580452,0,13.33704687,77.41067847,2701,2701,2701,2701,1149,1.1517241,
