(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
02:55.6, , ,58.53791119,206381056, , ,0, , ,2701,2701,2701,2701,1446,9.600564003,
02:56.6,3.042676543,16.22760823,58.45550565,206385152,292.0969481,3269.863058,0,9.293248267,96.24819178,2701,2701,2701,2701,1446,2.565374851,
02:57.6,1.991362924,10.95249608,58.50877402,206659584,359.4410078,954.8585221,0,21.43164891,103.4525299,2701,2701,2701,2701,1446,2.067684889,
02:58.6,3.981049571,15.92419829,58.44982582,207044608,422.986517,2327.918737,0,10.58471908,88.59146482,2701,2701,2701,2701,1446,2.064764023,
02:59.6,2.021422133,8.085688531,58.4181857,207175680,279.9669654,0,0,9.19444666,76.75733461,2701,2701,2701,2701,1446,2.067229986,
03:00.6,7.956173231,19.89043308,58.60350189,207171584,751.8583704,2737.918113,0,10.65008697,86.88267887,2701,2701,2701,2701,1447,2.0775249,
03:01.6,4.971144757,10.93651847,58.62535477,205766656,669.1160843,239.6091773,0,23.47262475,101.375169,2701,2701,2701,2701,1447,2.567502975,
03:02.6,11.97721633,20.96012857,58.69287084,205766656,1281.562147,2801.670519,0,18.14000929,106.3305956,2701,2701,2701,2701,1447,2.068292141,
03:03.6,2.016769601,11.09223281,58.6618404,205766656,197.6434209,311.5909034,0,15.31330477,100.1595482,2701,2701,2701,2701,1447,2.072906971,
03:04.7,2.7366562,10.03440607,59.99900521,206094336,301.9444008,219.8447148,0,79.68397856,113.9908706,2701,2701,2701,2701,1447,2.066597939,
03:05.7,10.15935798,1666.134709,59.91265268,210145280,1056.57323,848.3063914,0,89.28605423,113.8885839,2701,2701,2701,2701,1449,2.078155994,
03:06.6,0,8.737485257,59.9697397,210169856,0,0,0,63.30791934,109.2260509,2701,2701,2701,2701,1449,2.586771965,
