(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
41:35.1, , ,44.52376939,236212224, , ,0, , ,2701,2701,2701,2701,1183,0.166705847,
41:36.1,0,0,46.20258993,235708416,125.7316305,0,0,42.33025569,112.0613902,2701,2701,2701,2701,1183,0.153627872,
41:37.1,0,0,46.35273617,235954176,127.7454512,0,0,47.72459415,113.9940526,2701,2701,2701,2701,1183,0.151399136,
41:38.1,0,0,44.45933391,235982848,125.4361523,0,0,50.6040451,113.9880654,2701,2701,2701,2701,1183,0.194033861,
41:39.1,1.002274041,0,44.61323462,235225088,286.6503759,0,0,51.43292304,112.8896958,2701,2701,2701,2701,1183,0.167087793,
41:40.1,0,0,46.43353725,235474944,83.57964671,0,0,47.16391301,113.998821,2701,2701,2701,2701,1183,0.148576975,
41:41.1,0,0,44.58185119,235782144,41.82376304,0,0,45.93810462,113.992716,2701,2701,2701,2701,1183,0.173856974,
41:42.1,2.022366798,1.011183399,46.43488499,236126208,388.2944253,65.72692095,0,47.07147448,113.9986584,2701,2701,2701,2701,1183,0.154548883,
41:43.1,0.99552165,0,44.57382884,235548672,66.69995057,0,0,47.87925901,113.9868857,2701,2701,2701,2701,1183,0.168605804,
41:44.1,0,0,46.33126837,234774528,0,0,0,45.21505165,114.0126247,2701,2701,2701,2701,1183,0.18944788,
