(PDH-CSV 4.0) (AUS Eastern Standard Time)(-600),\\DESKTOP-0I0PA3Q\IPv4\Datagrams Received/sec,\\DESKTOP-0I0PA3Q\IPv4\Datagrams Sent/sec,\\DESKTOP-0I0PA3Q\Memory\% Committed Bytes In Use,\\DESKTOP-0I0PA3Q\Memory\Cache Bytes,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Received/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Sent/sec,\\DESKTOP-0I0PA3Q\Network Adapter(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\TCP Active RSC Connections,\\DESKTOP-0I0PA3Q\Processor(_Total)\% Processor Time,\\DESKTOP-0I0PA3Q\Processor Information(_Total)\% Processor Performance,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_0)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_1)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_2)\Processor Frequency,\\DESKTOP-0I0PA3Q\Processor Performance(PPM_Processor_3)\Processor Frequency,\\DESKTOP-0I0PA3Q\TCPv4\Connections Active,latency,
54:59.7, , ,67.98335844,205451264, , ,0, , ,2701,2701,2701,2701,1315,2.070374012,
55:00.7,2.990438513,33.89163648,67.93775942,205524992,288.0789101,240.2318939,0,29.56929596,95.16315926,2701,2701,2701,2701,1315,2.074808121,
55:01.7,19.90736499,1706.061179,67.95864961,206696448,4600.592049,4393.555453,0,32.34568022,105.1354256,2701,2701,2701,2701,1317,2.079092026,
55:02.7,3.032854267,72.78850242,67.80856754,206155776,320.4716009,243.6392928,0,31.67656009,100.9054776,2701,2701,2701,2701,1317,2.070019007,
55:03.7,1.990278717,1646.955638,67.83273084,208527360,233.8577492,0,0,42.07951617,104.5289532,2701,2701,2701,2701,1317,2.58656311,
55:04.7,0.994139756,56.66596611,67.79399895,206966784,137.1912864,239.5876813,0,25.44130546,105.3466301,2701,2701,2701,2701,1317,2.067478895,
55:05.7,4.045359132,1664.665283,67.97379581,207753216,571.4069774,0,0,41.53221056,103.6517324,2701,2701,2701,2701,1317,2.094531059,
55:06.7,5.97567484,69.71620647,67.95454215,206405632,924.2377086,821.6552905,0,29.19798968,100.2739009,2701,2701,2701,2701,1317,2.069109917,
55:07.7,12.92927672,1659.920219,60.15820067,208261120,7241.389523,1669.865816,0,56.87674277,113.1975531,2701,2701,2701,2701,1318,2.127721071,
55:08.7,2.023834168,77.91761547,60.2128168,207261696,194.2880801,433.1005119,0,18.57046289,94.34726888,2701,2701,2701,2701,1319,2.572118044,
